iter	RMSE
0	3.874345009
1	3.87379034
2	3.873369875
3	3.873049714
4	3.872685143
5	3.872317711
6	3.871957531
7	3.871688414
8	3.871411905
9	3.871048448
10	3.870836723
11	3.870666963
12	3.87039297
13	3.870174968
14	3.869967869
15	3.869665794
16	3.869537839
17	3.869286578
18	3.869101261
19	3.868993534
20	3.868903709
21	3.868769737
22	3.868628367
23	3.868469813
24	3.868421281
25	3.868353158
26	3.868232783
27	3.86812718
28	3.868004759
29	3.867902813
30	3.867832674
31	3.867771621
32	3.867735254
33	3.867716951
34	3.867690624
35	3.867605596
36	3.867588114
37	3.867569039
38	3.867563273
39	3.867422722
40	3.86732341
41	3.86729924
42	3.867098362
43	3.867097104
44	3.866969539
45	3.866902431
46	3.866805567
47	3.866699589
48	3.866620172
49	3.86657422
50	3.866527544
51	3.866386587
52	3.866370109
53	3.866368336
54	3.866311797
55	3.866301392
56	3.866245023
57	3.866210695
58	3.866151364
59	3.866064442
60	3.866046189
61	3.866007745
62	3.865973422
63	3.865965018
64	3.865964115
65	3.865950298
66	3.865927977
67	3.865916669
68	3.865913769
69	3.865863484
70	3.865790153
71	3.865784284
72	3.865736009
73	3.865735946
74	3.865634114
75	3.865490859
76	3.865475285
77	3.865401724
78	3.865381795
79	3.865284829
80	3.865263421
81	3.865231884
82	3.865188773
83	3.865162262
84	3.865141702
85	3.864997263
86	3.864963484
87	3.86493833
88	3.864933499
89	3.864885928
90	3.864845788
91	3.864829861
92	3.864824205
93	3.864807107
94	3.864800691
95	3.864783066
96	3.864769469
97	3.864728548
98	3.864727513
99	3.86468254
100	3.864645417
101	3.864627106
102	3.864619136
103	3.864594234
104	3.864587867
105	3.86453047
106	3.864527927
107	3.864479854
108	3.864479832
109	3.864465432
110	3.864450824
111	3.864406066
112	3.864377814
113	3.864355579
114	3.864340842
115	3.864266353
116	3.864256989
117	3.86425316
118	3.864239613
119	3.864166097
120	3.864165278
121	3.864131596
122	3.86408702
123	3.864010928
124	3.86393205
125	3.863915366
126	3.863896698
127	3.863890792
128	3.863863169
129	3.863862339
130	3.863862309
131	3.86380875
132	3.863804811
133	3.86370301
134	3.863691378
135	3.863688207
136	3.863639426
137	3.86361413
138	3.86359792
139	3.863573434
140	3.863517333
141	3.863511058
142	3.86350235
